"%s codes deleted","%s códigos excluídos"
"%s codes imported","%s códigos importados"
"%s codes not imported","%s códigos não importados"
"%s product in feed.","%s produto no feed."
"%s product not in feed.","%s produto não está no feed."
"Add new","Adicionar novo"
"Attrib. Set Name","Atrib. Informar Nome"
"Attributes map","Atributos mapeados"
"Cron Frequency","Frequência Cron"
"Cron Hour","Cron Hora"
"Delete","Excluir"
"Eav code","Eav código"
"FTP Password","FTP Senha"
"FTP Path","FTP Diretório"
"FTP Server","FTP Servidor"
"FTP Settings","FTP Configurações"
"FTP User","FTP Usuário"
"FTP: Can't delete files","FTP: Não foi possível excluir arquivos"
"Feed","Feed"
"Feed code","Feed código"
"ID","ID"
"Import","Importar"
"Import attribute map","Importar atributo mapeado"
"Import code","Importar código"
"In feed","No feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","No pedido para acessar suas informações de conta do FTP, você primeiro precisa se registrar e verificar sua loja no TheFind Merchant Center.  Clique <a href=""https://merchant.thefind.com/mc/claim.fhtml"">aqui</a> para começar."
"Is imported","Está importado"
"Item params","Parâmetros do Item"
"Manage attributes","Gerenciar atributos"
"Manage items","Gerenciar itens"
"Not import","Não importado"
"Not publish","Não publicado"
"Price","Preço"
"Product Name","Nome do Produto"
"Product import","Produto importado"
"Publish","Publicar"
"SKU","SKU"
"Settings","Configurações"
"The Find","The Find"
"TheFind Feed Filename","TheFind Feed Nome do Arquivo"
"TheFind feed","TheFind feed"
"Type","Tipo"
"Unable to process an import. ","Não foi possível processar a importação. "
"Update TheFind Item when Product is Updated","Atualizar Itens do TheFind quando Produto for Atualizado"
