"Add","Adicionar"
"Add gift message for shopping cart","Adicionar mensagem de presente para carrinho de compras"
"Add gift messages for quote item of shopping cart","Adicionar mensagem de presente para cada item do carrinho de compras"
"Add gift messages to products of shopping cart","Adicionar mensagem de presente para produtos no carrinho de compras"
"Add gift options","Adicionar opções de presente"
"Add gift options for Individual Items","Adicionar opções de presentes para itens individuais"
"Add gift options for the Entire Order","Adicionar opção de presente para todo o Pedido"
"Add gift options.","Adicionar opções de presente."
"Allow Gift Messages for Order Items","Permitir mensagens de presentes para itens do pedido"
"Allow Gift Messages on Order Level","Permitir Mensagens de Presentes em qualquer nível do pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao tentar salvar a mensagem de presente."
"Are you sure?","Você tem certeza?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Você tem algum item de presente no seu pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensagem Presente"
"Gift Message API","API Mensagem Presente"
"Gift Options","Opções de Presente"
"Gift Options for","Opções de Presente para"
"Gift Options for Individual Items","Opções de Presente para itens individuais"
"Gift Options for the Entire Order.","Opções de Presente para todo o Pedido."
"Gift Options for this address.","Opções de Presente para este endereço."
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"OK","OK"
"Save Gift Message","Salvar Mensagem Presente"
"The gift message has been removed","A mensagem de presente foi excluída com sucesso"
"The gift message has been saved","A mensagem de presente foi salva com sucesso"
"The gift message has been saved.","A mensagem de presente foi salva com sucesso."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Usar configuração"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar em branco se você não deseja incluir uma mensagem de presente para este item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar em branco se você não deseja incluir uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar em branco se você não deseja incluir uma mensagem de presente para todo pedido."
