"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Segurança Validação Cartão"
"API Login ID","API Login ID"
"Accepted Currency","Moeda aceita"
"Allow Partial Authorization","Permitir Autorização Parcial"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Tem certeza que deseja cancelar seu pagamento? Clique em OK para cancelar seu pagamento e liberar o valor segurado. Clique em Cancelar para informar outro cartão de crédito e prosseguir com o pagamento."
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Capturar e Autorizar"
"Authorize.Net Transaction ID %s","Authorize.Net Transação ID %s"
"Authorize.net","Authorize.net"
"Cancel","Cancelar"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
"Credit Card: xxxx-%s","Cartão de Crédito: xxxx-%s"
"Debug","Debug"
"Email Customer","Email cliente"
"Enabled","Habilitar"
"Error in payment gateway.","Erro no gateway de pagamento."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Ações do Gateway foram bloqueadas porque o gateway não pode completar uma ou mais transações. Acesse sua conta Authorize.Net para resolver o impasse manualmente."
"Gateway error: %s","Erro de Gateway: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Se vazio, o valor padrão será usado. URL Personalizada pode ser informada pelo CardinalCommerce acordo."
"Invalid amount for authorization.","Total inválido para autorização."
"Invalid amount for capture.","Valor inválido para captura."
"Invalid amount for partial authorization.","Valor parcial inválido para autorização."
"Invalid amount for refund.","Valor inválido para reembolso."
"Invalid split tenderId ID.","Divisão inválida de tenderId ID."
"Maximum Order Total","Máximo Total do Pedido"
"Merchant's Email","Email vendedor"
"Minimum Order Total","Mínimo Total do Pedido"
"New Order Status","Novo status pedido"
"Payment Action","Ação Pagamento"
"Payment authorization error.","Erro autorização pagamento."
"Payment canceling error.","Erro ao cancelar pagamento."
"Payment capturing error.","Erro ao capturar pagamento."
"Payment from Applicable Countries","Pagamento permitido para os países"
"Payment from Specific Countries","Pagamento específico para os países"
"Payment partial authorization error.","Erro de autorização de pagamento parcial."
"Payment refunding error.","Erro ao reembolsar pagamento."
"Payment voiding error.","Erro ao devolver pagamento."
"Processed Amount","Processando Valores"
"Remaining Balance","Saldo Restante"
"Severe 3D Secure Card Validation","Segurança Rigorosa 3D Validação de Cartão"
"Severe Validation Removes Chargeback Liability on Merchant","Validação Severa Retira a Responsabilidade de Estornos do Vendedor"
"Shopping cart contents and/or address has been changed.","Conteúdo do carrinho de compras e/ou endereço foi alterado."
"Sort Order","Ordenar"
"Test Mode","Modo Teste"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","O valor do seu cartão de crédito é insuficiente para completar a compra. O valor disponível foi colocado em espera. Para completar sua compra clique em OK e informe um cartão de crédito adicional. Para cancelar a compra e liberar o valor em espera, clique em Cancelar."
"There was an error canceling transactions. Please contact us or try again later.","Ocorreu um erro ao cancelar transação. Entre em contato ou tente novamente."
"Title","Título"
"Transaction Key","Chave de Transação"
"You have reached the maximum number of credit card allowed to be used for the payment.","Você atingiu o número máximo de cartões de créditos permitidos para esse pagamento."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Você atingiu o número máximo de cartões de créditos permitidos para um pagamento. O valor disponível em todos os cartões usados são insuficientes para completar o pagamento. O pagamento foi cancelado e o valor devolvido."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Seu cartão de crédito foi negado. Clique em OK para informar outro cartão de crédito e completar seu pagamento. Clique em Cancelar para liberar o valor em espera e selecionar outra forma de pagamento."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Seu pedido não foi feito, porque o conteúdo do carrinho de compras e/ou endereço foi alterado. Valor autorizado por você que estava pendente agora foi liberado. Retorne ao processo de checkout para rever o conteúdo recente de seu carrinho."
"Your payment has been cancelled. All authorized amounts have been released.","Seu pagamento foi cancelado. Todo valor autorizado foi liberado."
"amount %s","valor %s"
"authorize","autorizar"
"authorize and capture","autorizar e capturar"
"capture","capturar"
"failed","falhou"
"refund","devolver"
"successful","com sucesso"
"void","retorno"
