"Express Checkout and Order have been canceled.","Pagamento Express e Pedido foram cancelados."
"Express Checkout has been canceled.","Pagamento Express foi cancelado."
"Fetch","Buscar"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","PayPal Express Checkout (Edição Payflow) Atalho Pacote"
"PayPal Express Checkout Token does not exist.","O Token de Pagamento PayPal Express não existe."
"PayPal Express Order Review Form","Formulário de Pedido PayPal Express"
"PayPal Settlement Reports","PayPal Relatório de Ajustes"
"Payment has been declined. Please try again.","Pagamento foi cancelado. Tente novamente."
"Pending PayPal","PayPal Pendente"
"Reports","Relatórios"
"Sales","Vendas"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Não foi possível cancelar pagamento Express."
"Unable to initialize Express Checkout review.","Não foi possível iniciar Pagamento Express."
"Unable to place the order.","Não foi possível colocar o pedido."
"Unable to process Express Checkout approval.","Não foi possível aprovar processo de pagamento Express."
"Unable to start Express Checkout.","Não foi possível iniciar pagamento Express."
"Unable to update shipping method.","Não foi possível atualizar o método de entrega."
"View","Visualizar"
"View Transaction","Visualizar Transação"
"Wrong PayPal Express Checkout Token specified.","Token informado para Pagamento PayPal Express é inválido."
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado para o PayPal em alguns segundos."
